title,release_year,parental_rating,movie_duration,movie_rating,description,genres,budget,gross_na,gross_worldwide
Our Drawings,2023,TV-MA,1h 1m,1.2,"Paige Foster, discovers a mysterious intruder inside her artwork where she travels. Her beatboxing puppy sidekick helps search within her imaginative realms drawings that enable Foster to be...","Animation,Adventure",,,
Clownfish,2010,,1h 23m,1.2,A fish stuck in a fish pond does not have the luxury of swimming around freely. They are used to a mindless system of food being fed to them waiting to be weighed by the humans to see how mu...,"Drama,Romance",,,
Zaletchiki,2014,,1h 24m,1.2,,Comedy,,,
American Fiction,2023,R,1h 57m,7.5,A novelist who's fed up with the establishment profiting from Black entertainment uses a pen name to write a book that propels him into the heart of the hypocrisy and madness he claims to di...,"Comedy,Drama","$21,098,470","$224,469","$22,483,370"
Manos: The Hands of Fate,1966,Not Rated,1h 10m,1.6,"A family gets lost on the road and stumbles upon a hidden, underground, devil-worshiping cult led by the fearsome Master and his servant Torgo.",Horror,"$19,000 (estimated)",,
Kingdom of Gladiators,2011,Not Rated,1h 25m,1.7,"A king makes a pact with an ancient demon and after years of ruling his kingdom in peace, the demon has come to collect. Now a group of rival gladiators must fight for the survival of the ki...","Action,Adventure,Fantasy","$3,000,000 (estimated)",,
The Shawshank Redemption,1994,R,2h 22m,9.3,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",Drama,"$25,000,000 (estimated)","$28,767,189","$28,906,619"
Amityville Thanksgiving,2022,TV-14,1h 13m,1.8,"A struggling couple visits a marriage counselor for the holiday as a last resort. Soon after, they realize he has sinister intentions that could make this Thanksgiving their last.","Comedy,Drama,Horror",,,
Night,2019,Not Rated,1h 5m,2.1,"A young girl is kidnapped by a strange man, who forces her to be the star of his sick and twisted live stream.","Horror,Thriller","$1,000 (estimated)",,
House of the Dead,2003,R,1h 30m,2.1,"A group of college students travels to a mysterious island to attend a rave, which is soon taken over by bloodthirsty zombies.","Action,Adventure,Horror","$12,000,000 (estimated)","$10,249,719","$13,818,181"
The Other Side of the Mirror,2016,,1h 42m,2.2,"In 1905, a teenage Alice has just moved to the Pacific Northwest. She follows a mysterious man down a rabbit hole, leading her into Wonderland, a dark and curious world inhabited by characte...","Drama,Fantasy,History",,,
Delicious Delivery,2015,,1h 24m,2.2,Im Hyeok is a handsome boy who gets dumped by his girlfriend and takes a break from school.,Romance,,,
