title,release_year,parental_rating,movie_duration,movie_rating,description,genres,budget,gross_na,gross_worldwide
The Lives of Others,2006,R,2h 17m,8.4,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.","Drama,Mystery,Thriller","$2,000,000 (estimated)","$11,286,112","$77,357,476"
Sunset Blvd.,1950,Approved,1h 50m,8.4,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"Drama,Film-Noir","$1,752,000 (estimated)","$299,645","$304,474"
Raiders of the Lost Ark,1981,PG,1h 55m,8.4,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.","Action,Adventure","$18,000,000 (estimated)","$248,159,971","$389,925,971"
Memento,2000,R,1h 53m,8.4,A man with short-term memory loss attempts to track down his wife's murderer.,"Mystery,Thriller","$9,000,000 (estimated)","$25,544,867","$40,047,236"
WALL·E,2008,G,1h 38m,8.4,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","Animation,Adventure,Family","$180,000,000 (estimated)","$223,808,164","$521,320,168"
Paths of Glory,1957,Approved,1h 28m,8.4,"After a failed attack on a German position, a general orders three soldiers, chosen at random, court-martialed for cowardice and their commanding officer must defend them.","Drama,War","$935,000 (estimated)","$5,477","$5,477"
The Shawshank Redemption,1994,R,2h 22m,9.3,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",Drama,"$25,000,000 (estimated)","$28,767,189","$28,906,619"
Django Unchained,2012,R,2h 45m,8.5,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.","Drama,Western","$100,000,000 (estimated)","$162,805,434","$426,076,293"
Apocalypse Now,1979,R,2h 27m,8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Drama,Mystery,War","$31,500,000 (estimated)","$96,042,913","$104,911,671"
Once Upon a Time in the West,1968,PG-13,2h 46m,8.5,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Western,"$5,000,000 (estimated)","$5,321,508","$5,435,312"
Modern Times,1936,G,1h 27m,8.5,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"Comedy,Drama,Romance","$1,500,000 (estimated)","$163,577","$463,618"
Drishyam,2015,Not Rated,2h 43m,8.2,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.","Crime,Drama,Mystery","$9,400,000 (estimated)","$9,400,000 (estimated)","$9,400,000 (estimated)"
Dances with Wolves,1990,PG-13,3h 1m,8.0,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.","Adventure,Drama,Western","$22,000,000 (estimated)","$184,208,848","$424,208,848"
Alien,1979,R,1h 57m,8.5,The crew of a commercial spacecraft encounters a deadly lifeform after investigating a mysterious transmission of unknown origin.,"Horror,Sci-Fi","$11,000,000 (estimated)","$81,900,459","$106,285,522"
Cinema Paradiso,1988,PG,2h 54m,8.5,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,"Drama,Romance","$5,000,000 (estimated)","$12,397,210","$13,020,497"
Rear Window,1954,PG,1h 52m,8.5,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window and, despite the skepticism of his fashion-model girlfriend, becomes convinced on...","Mystery,Thriller","$1,000,000 (estimated)","$36,764,313","$37,040,788"
City Lights,1931,G,1h 27m,8.5,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","Comedy,Drama,Romance","$1,500,000 (estimated)","$19,181","$50,419"
Aladdin,1992,G,1h 30m,8.0,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"Animation,Adventure,Comedy","$28,000,000 (estimated)","$217,350,219","$504,050,219"
It Happened One Night,1934,Approved,1h 45m,8.1,A rogue reporter trailing a runaway heiress for a big story joins her on a bus heading from Florida to New York and they end up stuck with each other when the bus leaves them behind at one o...,"Comedy,Romance","$325,000 (estimated)","$14,729","$14,729"
Cool Hand Luke,1967,Approved,2h 7m,8.1,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Crime,Drama","$3,200,000 (estimated)",$126,$126
The Iron Giant,1999,PG,1h 26m,8.1,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,"Animation,Action,Adventure","$70,000,000 (estimated)","$23,315,035","$23,336,145"
The Help,2011,PG-13,2h 26m,8.1,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and th...",Drama,"$25,000,000 (estimated)","$169,708,112","$216,639,112"
Rebecca,1940,Approved,2h 10m,8.1,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"Drama,Mystery,Romance","$1,288,000 (estimated)","$112,282","$112,282"
The Grapes of Wrath,1940,Approved,2h 9m,8.1,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great...",Drama,"$800,000 (estimated)","$800,000 (estimated)","$800,000 (estimated)"
To Be or Not to Be,1942,Approved,1h 39m,8.1,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.","Comedy,Romance,War","$3,270,000","$4,578,000","$4,578,000"
Amores Perros,2000,R,2h 34m,8.1,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.","Drama,Thriller","$2,000,000 (estimated)","$5,408,467","$20,908,467"
My Father and My Son,2005,Not Rated,1h 52m,8.2,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,"Drama,Family","$18,612,999","$18,612,999","$18,612,999"
Groundhog Day,1993,PG,1h 41m,8.0,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.","Comedy,Drama,Fantasy","$14,600,000 (estimated)","$71,107,962","$71,108,778"
The Battle of Algiers,1966,Not Rated,2h 1m,8.1,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","Drama,War","$800,000 (estimated)","$879,794","$962,002"
The Sound of Music,1965,G,2h 52m,8.1,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,"Biography,Drama,Family","$8,200,000 (estimated)","$159,287,539","$159,470,192"
Into the Wild,2007,R,2h 28m,8.1,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska ...","Adventure,Biography,Drama","$15,000,000 (estimated)","$18,354,356","$56,676,733"
Stand by Me,1986,R,1h 29m,8.1,A writer recounts a childhood journey with his friends to find the body of a missing boy.,"Adventure,Comedy,Drama","$8,000,000 (estimated)","$52,287,414","$52,290,509"
The Handmaiden,2016,Not Rated,2h 25m,8.1,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","Drama,Romance,Thriller","₩10,000,000,000 (estimated)","$2,006,788","$37,863,670"
The Incredibles,2004,PG,1h 55m,8.0,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.","Animation,Action,Adventure","$92,000,000 (estimated)","$261,441,092","$631,686,750"
Network,1976,R,2h 1m,8.1,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",Drama,"$3,800,000 (estimated)","$23,689,877","$23,692,346"
Hachi: A Dog's Tale,2009,G,1h 33m,8.1,"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker's loyal companion. As their bond g...","Biography,Drama,Family","$16,000,000 (estimated)","$46,749,646","$46,749,646"
The Wizard of Oz,1939,G,1h 42m,8.1,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can retu...","Adventure,Family,Fantasy","$2,777,000 (estimated)","$24,668,669","$25,637,669"
Rush,2013,R,2h 3m,8.1,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,"Action,Biography,Drama","$38,000,000 (estimated)","$26,947,624","$96,992,516"
